"name";"description";"version";"link to software";"license";"link to license"
"Gson";"Gson is a  Java library that can be used to convert Java Objects into their JSON representation.";"com.google.code.gson:gson:2.10.1";"https://github.com/google/gson";"Apache-2.0";"https://www.apache.org/licenses/LICENSE-2.0"
"FlatLaf";"FlatLaf is a modern open-source cross-platform Look and Feel for Java Swing desktop appliations.";"com.formdev:flatlaf:3.1.1";"https://www.formdev.com/flatlaf/";"Apache-2.0";"https://www.apache.org/licenses/LICENSE-2.0"
